Flight freeze,Position freeze,Roll Euler angle,Pitch Euler angle,Angle of attack,Heading,Altitude,Vertical dev'n from glidepath,Horizontal dev'n,Right Sidestick pitch,Right Sidestick roll,Reposition,WOW_L,WOW_R,WOW_N
0.0,0.0,0.5402050435543064,1.205317008495334,4.2763865470886255,63.76277084350587,3074.000000000005,-0.032631554082035996,-0.08088149949908255,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5836997187137605,1.2076473379135146,4.292763681411744,63.8050567626953,3065.172646484376,-0.03285528920590878,-0.08113089144229889,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.6772068291902541,1.2134882130406128,4.314936486157503,63.881981069391415,3050.570129394534,-0.03327024372463878,-0.08157266405495732,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.7848212321599325,1.2191893498102822,4.330144098069933,63.95786734686958,3036.458539496531,-0.03370813015434475,-0.08203027976883784,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.8944936369327787,1.2248309799965404,4.341767828515235,64.04384775364653,3022.1971097905616,-0.03417484343368957,-0.08252863649358139,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0020355121655895,1.230686418034811,4.351206757805565,64.1440681110729,3007.8519952947468,-0.03466083490374416,-0.08307132582095536,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.110348506176724,1.2367082682061712,4.359130869520469,64.25975637233003,2993.240385014964,-0.03517075271365491,-0.08367578716988257,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.2165932099024475,1.2423977110121016,4.36560460196601,64.38608652750652,2978.855560980907,-0.03568296713961493,-0.08432729906506008,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.319653667343988,1.2475252893235957,4.370934465196398,64.52089674207899,2964.8159071180576,-0.03618836171097225,-0.08501890980535082,0.0,0.019372508260938844,0.0,0.0,0.0,0.0
0.0,0.0,1.347581225892774,1.2534325071003105,4.377929853356405,64.6708151775858,2950.334355893344,-0.0367144943903322,-0.08579574233811832,0.0,1.5417963991994466,0.0,0.0,0.0,0.0
0.0,0.0,0.9037122499375126,1.2631261746088638,4.388544400533042,64.78863997686479,2935.826299758189,-0.03724969994454156,-0.08664377991642272,0.0,0.7677314962659572,0.0,0.0,0.0,0.0
